"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2024","403.84","423.79","427.93","402.54","76.83M","-3.25%"
"30-12-2024","417.41","419.40","427.00","415.75","64.94M","-3.30%"
"27-12-2024","431.66","449.52","450.00","426.50","82.67M","-4.95%"
"26-12-2024","454.13","465.16","465.33","451.02","76.65M","-1.76%"
"24-12-2024","462.28","435.90","462.78","435.14","59.55M","7.36%"
"23-12-2024","430.60","431.00","434.51","415.41","72.70M","2.27%"
"20-12-2024","421.06","425.51","447.08","417.64","132.22M","-3.46%"
"19-12-2024","436.17","451.88","456.36","420.02","118.57M","-0.90%"
"18-12-2024","440.13","466.49","488.54","427.01","149.34M","-8.28%"
"17-12-2024","479.86","475.90","483.99","457.51","131.22M","3.64%"
"16-12-2024","463.02","441.09","463.19","436.15","114.08M","6.14%"
"13-12-2024","436.23","420.00","436.30","415.71","89.00M","4.34%"
"12-12-2024","418.10","424.84","429.30","415.00","87.75M","-1.57%"
"11-12-2024","424.77","409.70","424.88","402.38","104.29M","5.93%"
"10-12-2024","400.99","392.68","409.73","390.85","97.56M","2.87%"
"09-12-2024","389.79","397.61","404.80","378.01","96.36M","0.15%"
"06-12-2024","389.22","377.42","389.49","370.80","81.46M","5.34%"
"05-12-2024","369.49","359.87","375.43","359.50","81.40M","3.23%"
"04-12-2024","357.93","353.00","358.10","348.60","50.81M","1.85%"
"03-12-2024","351.42","351.80","355.69","348.20","58.27M","-1.59%"
"02-12-2024","357.09","352.38","360.00","351.15","77.99M","3.46%"
"29-11-2024","345.16","336.08","345.45","334.65","37.17M","3.69%"
"27-11-2024","332.89","341.80","342.55","326.59","57.90M","-1.58%"
"26-11-2024","338.23","341.00","346.96","335.66","62.30M","-0.11%"
"25-11-2024","338.59","360.14","361.93","338.20","95.89M","-3.96%"
"22-11-2024","352.56","341.08","361.53","337.70","89.14M","3.80%"
"21-11-2024","339.64","343.81","347.99","335.28","58.01M","-0.70%"
"20-11-2024","342.03","345.00","346.60","334.30","66.34M","-1.15%"
"19-11-2024","346.00","335.76","347.38","332.75","88.85M","2.14%"
